p,d,q,aic,mse
1.0,0.0,1.0,17640.48448811159,926.3565867989134
1.0,0.0,2.0,17614.54912164287,926.3642713144643
1.0,0.0,3.0,17588.854004067485,926.3557991232303
1.0,0.0,4.0,17590.854495590454,926.3526626703442
1.0,0.0,5.0,17592.438292596253,926.3449421205854
1.0,0.0,6.0,17593.6785862914,926.3154647758606
1.0,0.0,7.0,17595.671525575694,926.3265467488067
1.0,0.0,8.0,17597.655129264072,926.3426213782594
1.0,0.0,9.0,17599.277052357804,926.3944128515184
1.0,1.0,1.0,17619.577513180026,1927.965429318938
1.0,1.0,2.0,17611.019939386693,2109.563102233658
1.0,1.0,3.0,17612.749889131843,2038.233833466629
1.0,1.0,4.0,17584.888374700247,927.7263828143979
1.0,1.0,5.0,17586.90104500115,928.176502262361
1.0,1.0,6.0,17588.560082364413,931.8559383666648
1.0,1.0,7.0,17590.389052493745,945.6736424375459
1.0,1.0,8.0,17617.09070259085,2106.595018611049
1.0,1.0,9.0,17594.156329636782,941.9208880560618
2.0,0.0,1.0,17641.128089745784,926.3651368751354
2.0,0.0,2.0,17593.532032200812,926.3260441320124
2.0,0.0,3.0,17590.853805385996,926.4148541885305
2.0,0.0,4.0,17592.611613097666,926.3454379041005
2.0,0.0,5.0,17593.1711971793,930.9788574346925
2.0,0.0,6.0,17595.672947178024,926.301276246381
2.0,0.0,7.0,17597.67241339704,926.3053538067959
2.0,0.0,8.0,17599.65996928538,926.3202065786583
2.0,0.0,9.0,17600.978429625466,926.3586361476526
2.0,1.0,1.0,17611.797196789394,2130.1717195034194
2.0,1.0,2.0,17612.976774172952,2098.8513462442006
2.0,1.0,3.0,17613.482109419514,2161.117012311748
2.0,1.0,4.0,17595.89623123363,1106.3606438473832
2.0,1.0,5.0,17582.02145770414,927.2391980796776
2.0,1.0,6.0,17615.5778770687,2407.033930529166
2.0,1.0,7.0,17612.451930862477,2267.1972848798764
2.0,1.0,8.0,17612.395390972863,2193.244473649948
2.0,1.0,9.0,17614.273683934203,2222.5517593378922
3.0,0.0,1.0,17592.20527025248,926.3634051546334
3.0,0.0,2.0,17594.08559164973,926.4112857076764
3.0,0.0,3.0,17592.573786388224,926.4212651656956
3.0,0.0,4.0,17593.185627629493,929.6135461032329
3.0,0.0,5.0,17595.64948903649,926.7193618337319
3.0,0.0,6.0,17589.612521090174,926.3901362049613
3.0,0.0,7.0,17591.219798487233,926.3625440483991
3.0,0.0,8.0,17592.720527561367,926.4041593793797
3.0,0.0,9.0,17593.17513469651,926.3956108811195
3.0,1.0,1.0,17611.25010493264,2004.0440556334763
3.0,1.0,2.0,17615.421928029697,2144.459512313706
3.0,1.0,3.0,17609.49064892279,2020.600340767323
3.0,1.0,4.0,17605.275077583934,1990.6133088573542
3.0,1.0,5.0,17608.264266818973,1582.4590791251712
3.0,1.0,6.0,17598.366910174016,1105.8369448205449
3.0,1.0,7.0,17613.3448757374,2220.3943089968334
3.0,1.0,8.0,17614.246976983904,2209.287558534348
3.0,1.0,9.0,17616.302331922045,2210.529663996828
4.0,0.0,1.0,17593.919329314638,926.3970411706574
4.0,0.0,2.0,17594.104335959615,926.5329537421885
4.0,0.0,3.0,17593.871962734665,926.4856083325494
4.0,0.0,4.0,17595.523629117604,926.2640653999105
4.0,0.0,5.0,17591.825266828608,926.2270515607738
4.0,0.0,6.0,17591.40786824732,926.3898793678007
4.0,0.0,7.0,17593.023632024877,926.3516515842615
4.0,0.0,8.0,17594.936245291923,926.3813296729853
4.0,0.0,9.0,17594.94764003768,926.3892470675582
4.0,1.0,1.0,17603.53329935627,1754.7644039156892
4.0,1.0,2.0,17603.868137547597,1436.267612572211
4.0,1.0,3.0,17590.558945741985,935.3702611000936
4.0,1.0,4.0,17607.580466472526,1954.9197131794037
4.0,1.0,5.0,17608.788716899067,2007.2339549374055
4.0,1.0,6.0,17608.901940323187,1863.9112826070557
4.0,1.0,7.0,17604.01363765425,1055.443241456751
4.0,1.0,8.0,17607.380295914983,1095.6412387051002
4.0,1.0,9.0,17604.189779901222,1007.7097081325369
5.0,0.0,1.0,17592.2282067234,926.6417823136709
5.0,0.0,2.0,17593.751892157023,926.8043968147686
5.0,0.0,3.0,17590.67201029593,926.3065240577757
5.0,0.0,4.0,17597.671313354156,926.109257044417
5.0,0.0,5.0,17594.078645043068,926.1072387873345
5.0,0.0,6.0,17593.368598949623,926.348677539243
5.0,0.0,7.0,17594.78399240618,926.3555161871489
5.0,0.0,8.0,17597.11087491182,926.355920208038
5.0,0.0,9.0,17595.76880396619,926.4051184628674
5.0,1.0,1.0,17605.532328294823,1750.3537007184977
5.0,1.0,2.0,17607.522757546765,1758.9029399954707
5.0,1.0,3.0,17594.93191494047,956.4709606980703
5.0,1.0,4.0,17608.94395692007,2002.8048765455471
5.0,1.0,5.0,17610.12394654772,2038.383299881254
5.0,1.0,6.0,17603.83754800851,2006.518099248627
5.0,1.0,7.0,17604.26880601103,1821.312185710814
5.0,1.0,8.0,17593.174538886735,965.3585517595457
5.0,1.0,9.0,17592.544409513313,966.0399099289345
6.0,0.0,1.0,17593.764899696456,926.322711389992
6.0,0.0,2.0,17596.226437246558,925.9838598748067
6.0,0.0,3.0,17592.323525452513,926.2507026583858
6.0,0.0,4.0,17597.083266131664,926.4747574651678
6.0,0.0,5.0,17596.713724264948,926.3132755710072
6.0,0.0,6.0,17595.108052585012,926.3781917364481
6.0,0.0,7.0,17594.222444664167,926.3941930817584
6.0,0.0,8.0,17596.45877036343,926.216335622159
6.0,0.0,9.0,17591.987968822257,926.0207064102212
6.0,1.0,1.0,17595.563680091473,926.8259081609363
6.0,1.0,2.0,17609.506516250265,1742.3193109464567
6.0,1.0,3.0,17609.628970359103,1410.9788811166807
6.0,1.0,4.0,17610.011146702618,1863.056515132792
6.0,1.0,5.0,17611.900103313696,2009.4818444542434
6.0,1.0,6.0,17605.511757026758,2008.5467625373287
6.0,1.0,7.0,17607.86870088397,2012.3651819738227
6.0,1.0,8.0,17594.742752380746,978.4532634156135
6.0,1.0,9.0,17593.10439432549,929.3702515746445
7.0,0.0,1.0,17594.989320930927,926.4276558804526
7.0,0.0,2.0,17595.020671213613,926.9737013618299
7.0,0.0,3.0,17598.008868121422,923.8777363393436
7.0,0.0,4.0,17601.296009390833,926.1665438395081
7.0,0.0,5.0,17595.988797469552,926.3523902241177
7.0,0.0,6.0,17590.39833301441,926.3837985702121
7.0,0.0,7.0,17590.28427434963,926.3755728583589
7.0,0.0,8.0,17593.136536923274,926.36869677652
7.0,0.0,9.0,17594.817403125584,926.4235999886399
7.0,1.0,1.0,17590.902908540127,927.1380218093988
7.0,1.0,2.0,17591.95918103987,926.8964577368631
7.0,1.0,3.0,17597.937196424125,927.4877208275598
7.0,1.0,4.0,17607.443713950954,1664.9134159314713
7.0,1.0,5.0,17611.702312411042,1812.6661418427661
7.0,1.0,6.0,17606.260373969246,1920.01700972425
7.0,1.0,7.0,17599.854081387315,964.1977295245982
7.0,1.0,8.0,17601.90260150096,1438.6797066720824
7.0,1.0,9.0,17592.235764855977,933.3627721383551
8.0,0.0,1.0,17596.314279051185,926.425267692932
8.0,0.0,2.0,17591.913325970563,926.6351508568048
8.0,0.0,3.0,17597.162876160095,926.5905409426096
8.0,0.0,4.0,17594.13207925251,926.4574030358111
8.0,0.0,5.0,17597.280618947007,926.3707182527085
8.0,0.0,6.0,17591.572500211965,926.4695492197275
8.0,0.0,7.0,17591.556276821488,926.3891376915092
8.0,0.0,8.0,17592.97367398471,926.2104392044546
8.0,0.0,9.0,17594.80752779786,925.994740615121
8.0,1.0,1.0,17590.441395208385,927.210925460102
8.0,1.0,2.0,17588.51355377995,927.078812238924
8.0,1.0,3.0,17599.560597689764,929.7733736648007
8.0,1.0,4.0,17601.770047017395,976.049610550445
8.0,1.0,5.0,17603.838777973673,927.2203884292578
8.0,1.0,6.0,17597.556228162284,949.5707902869466
8.0,1.0,7.0,17598.344590040164,941.925986084422
8.0,1.0,8.0,17602.897649911,1207.0306649167576
8.0,1.0,9.0,17598.047455105967,1018.0441962126118
9.0,0.0,1.0,17597.82386538469,926.4482472096647
9.0,0.0,2.0,17591.207663980986,926.4681912447205
9.0,0.0,3.0,17593.447065291344,926.4444520266975
9.0,0.0,4.0,17595.162040001516,926.3972602029147
9.0,0.0,5.0,17594.68155133949,926.3907730427479
9.0,0.0,6.0,17591.160082158356,925.9956687451934
9.0,0.0,7.0,17592.9857179519,926.2805212906628
9.0,0.0,8.0,17598.276455059968,926.8938003071329
9.0,0.0,9.0,17612.012781148325,926.8253073032517
9.0,1.0,1.0,17592.38916260717,927.3910403123263
9.0,1.0,2.0,17587.177698392134,927.2022312734018
9.0,1.0,3.0,17597.272009510838,927.0384866571237
9.0,1.0,4.0,17602.12027835774,927.2396108198899
9.0,1.0,5.0,17592.67622132876,950.9763405681937
9.0,1.0,6.0,17591.187285097876,935.0469474006165
9.0,1.0,7.0,17595.52917054244,928.2716368306919
9.0,1.0,8.0,17601.686915911574,1026.4585104713804
9.0,1.0,9.0,17607.88114641956,1412.85721112577
