p,d,q,aic,mse
6.0,0.0,6.0,15384.586456231187,173.69882605301174
6.0,0.0,7.0,15383.27689792359,175.6199606189481
6.0,0.0,8.0,15374.899792693388,180.2021721381895
6.0,0.0,9.0,15376.413918083983,185.67551073433145
6.0,1.0,6.0,15372.163205042376,918.3276541345167
6.0,1.0,7.0,15375.280012073166,930.8834837521233
6.0,1.0,8.0,15374.842131669679,909.0215407952045
6.0,1.0,9.0,15375.642845894949,890.7731655290637
7.0,0.0,6.0,15387.804602692006,177.6227695125797
7.0,0.0,7.0,15377.293283163192,196.62448074564796
7.0,0.0,8.0,15379.023192539007,178.48059851423113
7.0,0.0,9.0,15378.134966856967,183.49937333511818
7.0,1.0,6.0,15374.160775752447,920.0202882804442
7.0,1.0,7.0,15362.664384369544,927.3024408460882
7.0,1.0,8.0,15375.635172651539,922.0762190920043
7.0,1.0,9.0,15373.275493526471,954.4598810664683
8.0,0.0,6.0,15382.837408521322,171.96855673365775
8.0,0.0,7.0,15374.695321182782,196.95222248671894
8.0,0.0,8.0,15378.87296436911,185.65552385665066
8.0,0.0,9.0,15382.656763706178,231.05681183982054
8.0,1.0,6.0,15374.386192780315,897.6710059322376
8.0,1.0,7.0,15375.292849232806,918.677317201118
8.0,1.0,8.0,15372.183026449864,905.026598896722
8.0,1.0,9.0,15371.661060504002,903.848656294771
9.0,0.0,6.0,15387.21484352895,173.317827925829
9.0,0.0,7.0,15379.964445605263,181.72979272316874
9.0,0.0,8.0,15377.65078797561,210.1071159715128
9.0,0.0,9.0,15373.899421662085,174.40223652232064
9.0,1.0,6.0,15377.147138725066,902.1962591596172
9.0,1.0,7.0,15375.91442846874,909.4139923061462
9.0,1.0,8.0,15374.622287427497,909.6988871164853
9.0,1.0,9.0,15377.327708660876,911.7667182635321
