,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,p,d,q,aic,mse
0,0,0,0,6.0,0.0,6.0,20470.08095423838,3351.67320276546
1,1,1,1,6.0,0.0,7.0,20451.896680451,4607.91499467311
2,2,2,2,6.0,0.0,8.0,20456.55994367892,4781.35197074017
3,3,3,3,6.0,0.0,9.0,20456.88821994125,4484.033456673698
4,4,4,4,6.0,1.0,6.0,20438.507925356847,6050.772585746432
5,5,5,5,6.0,1.0,7.0,20448.194797221528,5491.963761116642
6,6,6,6,6.0,1.0,8.0,20409.193221417496,5858.535286025772
7,7,7,7,6.0,1.0,9.0,20416.63190793672,5977.4467887294495
8,8,8,8,7.0,0.0,6.0,20452.24268601532,4205.481335111625
9,9,9,9,7.0,0.0,7.0,20456.101768628752,3450.9735919461928
10,10,10,10,7.0,0.0,8.0,20456.757488229043,5132.192824258818
11,11,11,11,7.0,0.0,9.0,20444.536899041614,3636.841274345254
12,12,12,12,7.0,1.0,6.0,20473.991698863763,6169.781185223886
13,13,13,13,7.0,1.0,7.0,20430.178087039603,6108.448268942507
14,14,14,14,7.0,1.0,8.0,20433.53857272392,6143.538843453947
15,15,15,15,7.0,1.0,9.0,20412.568084708168,6007.150127637982
16,16,16,16,8.0,0.0,6.0,20508.09217278681,3626.8326477728806
17,17,17,17,8.0,0.0,7.0,20430.683125767304,4109.760459275512
18,18,18,18,8.0,0.0,8.0,20421.192271111875,3131.433323838929
19,19,19,19,8.0,0.0,9.0,20423.30326139674,4542.53882763419
20,20,20,20,8.0,1.0,6.0,20471.65186460271,6098.306266265566
21,21,21,21,8.0,1.0,7.0,20422.33869115338,5847.824491123069
22,22,22,22,8.0,1.0,8.0,20433.070863584835,5810.6517790483485
23,23,23,23,8.0,1.0,9.0,20413.72247974381,5962.555706572145
24,24,24,24,9.0,0.0,6.0,20493.019922932403,3677.6750623835865
25,25,25,25,9.0,0.0,7.0,20427.49673610696,4505.691832223578
26,26,26,26,9.0,0.0,8.0,20425.76796583153,3134.724901663392
27,27,27,27,9.0,0.0,9.0,20422.122378020293,3316.1098837733693
28,28,28,28,9.0,1.0,6.0,20471.291059913143,6096.44530066371
29,29,29,29,9.0,1.0,7.0,20440.468113346284,6100.890675693693
30,30,30,30,9.0,1.0,8.0,20415.936983678257,5948.162630181935
31,31,31,31,9.0,1.0,9.0,20419.14086940666,5976.831207615633
