p,d,q,aic,mse
1.0,0.0,1.0,15591.422348118514,214.07141294532997
1.0,0.0,2.0,15574.650381446674,214.105606855801
1.0,0.0,3.0,15541.281993856894,214.76643678637004
1.0,0.0,4.0,15516.884382945616,213.2147694600715
1.0,0.0,5.0,15508.349563921984,214.42088697185176
1.0,0.0,6.0,15509.764900292701,214.68675842167997
1.0,0.0,7.0,15511.445371277445,214.85222338617442
1.0,0.0,8.0,15512.955701384777,215.18871995570748
1.0,0.0,9.0,15514.948013940508,215.1592945499995
1.0,0.0,10.0,15516.318856183894,215.4591360936971
1.0,1.0,1.0,15513.988444726143,251.54054847508056
1.0,1.0,2.0,15504.130302401369,244.70508992576995
1.0,1.0,3.0,15505.232550017903,242.3472932735259
1.0,1.0,4.0,15507.155083519141,241.73586922326916
1.0,1.0,5.0,15508.93577590197,240.07174815136852
1.0,1.0,6.0,15510.552417877065,241.26413922944553
1.0,1.0,7.0,15512.352881627703,242.04381028899883
1.0,1.0,8.0,15514.323749494512,241.20464031342402
1.0,1.0,9.0,15510.50041825647,205.89687958477512
1.0,1.0,10.0,15516.79525608003,245.4819099257531
2.0,0.0,1.0,15593.151977561853,214.07343830186386
2.0,0.0,2.0,15504.918933749608,215.0485560178981
2.0,0.0,3.0,15505.920506531516,214.87441338185587
2.0,0.0,4.0,15507.808403576877,214.64389396060946
2.0,0.0,5.0,15509.828758719112,206.0142638748421
2.0,0.0,6.0,15511.744763906569,214.85391764157728
2.0,0.0,7.0,15513.22337201903,215.16867472495235
2.0,0.0,8.0,15514.954687752137,215.48032141363072
2.0,0.0,9.0,15516.949385985828,215.45010483459524
2.0,0.0,10.0,15649.810447741798,208.2981120848858
2.0,1.0,1.0,15503.483787701225,243.16711606810208
2.0,1.0,2.0,15505.140557030172,241.46463970705642
2.0,1.0,3.0,15507.34731709037,243.54540159871308
2.0,1.0,4.0,15506.565189102914,242.46199524904088
2.0,1.0,5.0,15510.649814514747,241.00413336671033
2.0,1.0,6.0,15512.577811450734,241.32242873365084
2.0,1.0,7.0,15492.597110093437,236.38362853696785
2.0,1.0,8.0,15494.84008632797,236.18270385599155
2.0,1.0,9.0,15514.556462645283,237.59343700934951
2.0,1.0,10.0,15494.964031701986,239.51838978159654
3.0,0.0,1.0,15504.206357254443,214.9391433276363
3.0,0.0,2.0,15505.864887103671,213.42637017080693
3.0,0.0,3.0,15508.099829693647,215.7030792710892
3.0,0.0,4.0,15508.691477215953,205.4629438637854
3.0,0.0,5.0,15511.036779573544,214.43424841333854
3.0,0.0,6.0,15513.098127441674,215.7789644531948
3.0,0.0,7.0,15515.395374152684,214.86883093773997
3.0,0.0,8.0,15504.85048107987,236.15476289235596
3.0,0.0,9.0,15504.501894600842,231.44868768472614
3.0,0.0,10.0,15507.166313386893,216.45673807881283
3.0,1.0,1.0,15505.143093058017,241.63455950311615
3.0,1.0,2.0,15507.060985737335,242.39290257758034
3.0,1.0,3.0,15507.172297300109,240.0116431387194
3.0,1.0,4.0,15508.322265946523,240.70677971557743
3.0,1.0,5.0,15495.15402465581,246.7133892333586
3.0,1.0,6.0,15496.987669048045,243.19599094240652
3.0,1.0,7.0,15494.770275829967,240.9047725202972
3.0,1.0,8.0,15496.200892382425,237.61751571680148
3.0,1.0,9.0,15504.791992469149,232.63410488801622
3.0,1.0,10.0,15496.168576299762,246.2405495775352
4.0,0.0,1.0,15505.790472723711,214.51171099756866
4.0,0.0,2.0,15505.352196835764,212.29081209351293
4.0,0.0,3.0,15509.73915945749,215.6406978009723
4.0,0.0,4.0,15498.122535758052,225.69004374707714
4.0,0.0,5.0,15509.1530792815,216.28982546360982
4.0,0.0,6.0,15514.272991808426,214.86539547124224
4.0,0.0,7.0,15515.052923535804,216.7829746589563
4.0,0.0,8.0,15496.749444709414,214.80651228821952
4.0,0.0,9.0,15498.84174427103,213.505121032278
4.0,0.0,10.0,15497.709520370845,217.2806534297178
4.0,1.0,1.0,15507.138419697141,241.5078618161131
4.0,1.0,2.0,15509.065074049295,241.99654787938877
4.0,1.0,3.0,15508.202646853844,240.1747649250209
4.0,1.0,4.0,15502.848626241215,210.18136605482388
4.0,1.0,5.0,15499.228285363397,238.79393061478294
4.0,1.0,6.0,15498.491736339993,239.55021006450627
4.0,1.0,7.0,15501.053445573176,247.06438394189757
4.0,1.0,8.0,15497.791593656413,245.06349232129728
4.0,1.0,9.0,15514.986154138704,231.84995942177486
