p,d,q,aic,mse
1.0,0.0,1.0,8750.515628754205,4.658038141704574
1.0,0.0,2.0,8692.977635668558,4.658923645500697
1.0,0.0,3.0,8677.078194136127,4.655203306989203
1.0,0.0,4.0,8677.648243938329,4.653857710470834
1.0,0.0,5.0,8675.220072904605,4.6560422655151505
1.0,0.0,6.0,8676.075901939423,4.657471829632897
1.0,0.0,7.0,8675.759966440603,4.662324388990024
1.0,0.0,8.0,8672.653299136851,4.689918977619259
1.0,0.0,9.0,8674.060338125546,4.682600093447431
1.0,0.0,10.0,8675.919519814059,4.686187524925058
1.0,1.0,1.0,8672.016724707282,4.658295281863843
1.0,1.0,2.0,8668.883987359144,4.690456627835064
1.0,1.0,3.0,8667.487906787135,4.799338396989325
1.0,1.0,4.0,8666.944010996276,4.885363901682942
1.0,1.0,5.0,8667.79757723812,4.853499209914646
1.0,1.0,6.0,8669.788080666653,4.850758041825389
1.0,1.0,7.0,8677.857015326492,4.6680290988316
1.0,1.0,8.0,8671.806257898244,4.784145749762974
1.0,1.0,9.0,8671.239840557433,4.731118159127636
1.0,1.0,10.0,8673.236073312699,4.729292891059939
2.0,0.0,1.0,8671.58753420439,4.654360807503468
2.0,0.0,2.0,8670.224317397748,4.662381267357409
2.0,0.0,3.0,8669.88962430521,4.6885841105179376
2.0,0.0,4.0,8680.176452726786,4.656393841213735
2.0,0.0,5.0,8674.896209199665,6.826943473024724
2.0,0.0,6.0,8676.852851581181,5.0395465912687865
2.0,0.0,7.0,8678.439853544765,4.657553160578514
2.0,0.0,8.0,8674.13265624061,4.68135668423344
2.0,0.0,9.0,8673.29379054551,4.679274328592476
2.0,0.0,10.0,8675.260792079436,4.6789424041473255
2.0,1.0,1.0,8669.72259739558,4.677171390318029
2.0,1.0,2.0,8672.211943257804,4.662188460673535
2.0,1.0,3.0,8671.597956263871,4.685236593171498
2.0,1.0,4.0,8667.91394050323,4.831151994618121
2.0,1.0,5.0,8669.181018873314,4.843379401767303
2.0,1.0,6.0,8670.827641337497,4.862778570019776
2.0,1.0,7.0,8672.751224305175,4.848209091590072
2.0,1.0,8.0,8673.729955785759,4.7982411769042805
2.0,1.0,9.0,8673.231102037313,4.727220017774868
2.0,1.0,10.0,8674.752414776427,4.799063862614443
3.0,0.0,1.0,8670.690931075282,4.657118818297998
3.0,0.0,2.0,8672.159036823363,4.6557151802834715
3.0,0.0,3.0,8672.75126789741,4.663355268057715
3.0,0.0,4.0,8673.118189039835,4.676781100853509
3.0,0.0,5.0,8678.801677338037,4.711382041709644
3.0,0.0,6.0,8673.411252898193,4.705238169256094
3.0,0.0,7.0,8676.441491100742,4.934654131016866
3.0,0.0,8.0,8676.75229927832,4.864482366998138
3.0,0.0,9.0,8675.324938491525,4.660945370153019
3.0,0.0,10.0,8677.287816504593,4.680834084386426
3.0,1.0,1.0,8670.505415977512,4.696088918278416
3.0,1.0,2.0,8672.269633677563,4.674864460808781
3.0,1.0,3.0,8676.598144291667,4.662494973101317
3.0,1.0,4.0,8675.50138985281,4.698596248941173
3.0,1.0,5.0,8672.865650912725,4.848079339290318
3.0,1.0,6.0,8673.56885642435,4.934804479713047
3.0,1.0,7.0,8670.702793528344,4.864765703685276
3.0,1.0,8.0,8674.502385758915,4.886276748498833
3.0,1.0,9.0,8670.371236404366,4.831125183007355
3.0,1.0,10.0,8676.320106813702,4.821275083921276
4.0,0.0,1.0,8672.000715499944,4.664381738145162
4.0,0.0,2.0,8673.101362983456,4.6688709076943935
4.0,0.0,3.0,8673.181791927407,4.783169647179301
4.0,0.0,4.0,8675.723467881246,4.660042785212143
4.0,0.0,5.0,8676.30682490823,4.698973965816044
4.0,0.0,6.0,8677.004327566929,4.772013348926724
4.0,0.0,7.0,8672.511083137884,4.723352914347831
4.0,0.0,8.0,8673.615026016605,4.6910438111636275
4.0,0.0,9.0,8673.518576707487,4.728236161663605
4.0,0.0,10.0,8675.450344590794,4.722908946481128
4.0,1.0,1.0,8666.651502637309,4.7830245846081425
4.0,1.0,2.0,8671.104827906915,4.709702243988976
4.0,1.0,3.0,8675.671955162961,4.685144391582361
4.0,1.0,4.0,8668.05672676292,4.9443107778884405
4.0,1.0,5.0,8669.70172023769,4.781514973103542
4.0,1.0,6.0,8674.010817493827,4.821090758139824
4.0,1.0,7.0,8675.381691498951,4.90379376207554
4.0,1.0,8.0,8669.975072369121,5.163768613928655
4.0,1.0,9.0,8673.868394770876,4.836071977658682
4.0,1.0,10.0,8675.52105951562,4.836994427830673
5.0,0.0,1.0,8668.992907629183,4.706109486124405
5.0,0.0,2.0,8672.828394900484,4.6683469328716
5.0,0.0,3.0,8675.77716738959,4.708041590532731
5.0,0.0,4.0,8677.126568669197,4.687609348159273
5.0,0.0,5.0,8677.354686856168,4.68204320458866
5.0,0.0,6.0,8677.552720552627,4.704993441224206
5.0,0.0,7.0,8679.114311398764,4.688529316108717
5.0,0.0,8.0,8675.450326719063,4.680753862876584
5.0,0.0,9.0,8676.360675770788,4.680274274943825
5.0,0.0,10.0,8678.221354302364,4.680950721733613
5.0,1.0,1.0,8668.254958999136,4.814083974739383
5.0,1.0,2.0,8669.827457402069,4.774881072577323
5.0,1.0,3.0,8670.839203724245,4.868187863905272
5.0,1.0,4.0,8669.767996558541,5.019670491987296
5.0,1.0,5.0,8674.69754592254,4.8764580004363465
5.0,1.0,6.0,8678.51097390206,4.710342209771316
5.0,1.0,7.0,8673.750290023107,4.993815929959182
5.0,1.0,8.0,8673.968492799668,5.3077959946887425
5.0,1.0,9.0,8674.53705677317,4.809527494824402
5.0,1.0,10.0,8677.231953356417,4.8630813092622125
6.0,0.0,1.0,8670.727493449347,4.695311116458169
6.0,0.0,2.0,8672.11945314939,4.675517773641707
6.0,0.0,3.0,8677.830412286985,4.7129501973469905
6.0,0.0,4.0,8678.67618011055,4.664598033606331
6.0,0.0,5.0,8675.82035672172,4.687932528030191
6.0,0.0,6.0,8680.950173849265,4.668220904063028
6.0,0.0,7.0,8676.075278084147,4.816214958555937
6.0,0.0,8.0,8675.456694954313,4.754320560435687
6.0,0.0,9.0,8677.887285011082,4.7131481457500035
6.0,0.0,10.0,8679.349545817511,4.714989493428812
6.0,1.0,1.0,8668.95070710713,4.886985961036697
6.0,1.0,2.0,8670.666671740482,4.829525270208162
6.0,1.0,3.0,8667.739035909353,4.857182668526063
6.0,1.0,4.0,8673.745009839871,4.7411047070593115
6.0,1.0,5.0,8672.023092327745,4.883103671322045
6.0,1.0,6.0,8672.384913225014,4.793602071573747
6.0,1.0,7.0,8677.346139291694,4.8501215676537255
6.0,1.0,8.0,8676.82820677431,4.8866367159310915
6.0,1.0,9.0,8676.459789188151,4.866704564742249
6.0,1.0,10.0,8678.960704297742,4.805069393935838
7.0,0.0,1.0,8671.630531657598,4.713909877689372
7.0,0.0,2.0,8673.581108081637,4.802142974009103
7.0,0.0,3.0,8676.718817889723,4.6748912712734345
7.0,0.0,4.0,8679.591042236127,4.665059240389991
7.0,0.0,5.0,8677.438770462159,4.714517575673767
7.0,0.0,6.0,8682.630443668178,4.6907936152464185
7.0,0.0,7.0,8680.910531065341,4.673755036413152
7.0,0.0,8.0,8679.20100575493,4.701878196227739
7.0,0.0,9.0,8679.66767952363,4.693011113174041
7.0,0.0,10.0,8678.378058711147,4.681266139008358
7.0,1.0,1.0,8670.943035194938,4.8807716277821145
7.0,1.0,2.0,8672.946241567643,4.88618925616223
7.0,1.0,3.0,8669.44809437775,4.922623297220572
7.0,1.0,4.0,8671.356065196678,4.821878197544893
7.0,1.0,5.0,8675.32566552578,5.010940197659018
7.0,1.0,6.0,8675.04161131243,4.880533267550994
7.0,1.0,7.0,8677.363657359927,4.786379942694966
7.0,1.0,8.0,8681.136492588357,4.882317470949618
7.0,1.0,9.0,8670.265198105526,4.689237178878254
7.0,1.0,10.0,8679.955071004497,4.681538433803246
8.0,0.0,1.0,8674.765250262319,5.109629788328167
8.0,0.0,2.0,8674.994737391431,4.705802009624452
8.0,0.0,3.0,8673.751672282582,4.7212157496686125
8.0,0.0,4.0,8679.995444458616,4.6792444160228595
8.0,0.0,5.0,8680.219519580776,4.657820212699171
8.0,0.0,6.0,8685.651854832176,4.6572596818801415
8.0,0.0,7.0,8688.873848632611,4.655423329343124
8.0,0.0,8.0,8679.70111163405,4.687257681008783
8.0,0.0,9.0,8678.512500104125,4.649298843177013
8.0,0.0,10.0,8688.561814539225,4.671330223207122
8.0,1.0,1.0,8671.392750599167,4.808889928137895
8.0,1.0,2.0,8673.35165499723,4.8006577236345045
8.0,1.0,3.0,8672.054554327511,4.865463660750191
8.0,1.0,4.0,8672.86765110182,4.861804581981196
8.0,1.0,5.0,8679.268088451237,4.862379802387047
8.0,1.0,6.0,8679.34723381935,4.783612781718065
8.0,1.0,7.0,8679.989128643676,4.886962261476094
8.0,1.0,8.0,8675.163787657468,4.733472667885006
8.0,1.0,9.0,8678.782905478676,4.780413364534751
8.0,1.0,10.0,8682.347254550108,4.865829111015331
9.0,0.0,1.0,8673.831608392724,4.6911387492726355
9.0,0.0,2.0,8676.826611019598,4.682971610075174
9.0,0.0,3.0,8679.345007505923,4.7035718180795385
9.0,0.0,4.0,8680.361181292159,4.688241545091385
9.0,0.0,5.0,8678.650786680639,4.689701243759628
9.0,0.0,6.0,8680.775891393798,4.6629308339056506
9.0,0.0,7.0,8683.289966030297,4.6713139003510555
9.0,0.0,8.0,8675.828525406436,4.676557498972383
9.0,0.0,9.0,8682.734516955457,4.673577906023621
9.0,0.0,10.0,8683.919616665717,4.686027323729311
9.0,1.0,1.0,8673.311543647314,4.795043928125283
9.0,1.0,2.0,8672.61998221196,4.785843177002692
9.0,1.0,3.0,8673.914618886818,4.8293920034887465
9.0,1.0,4.0,8675.730441983482,4.910329481525487
9.0,1.0,5.0,8686.250889857987,4.779901243960926
9.0,1.0,6.0,8678.60179759081,4.82184204664374
9.0,1.0,7.0,8680.45369660726,4.802287927865755
9.0,1.0,8.0,8675.604850249118,4.845113521915212
9.0,1.0,9.0,8682.51050842508,5.084743786217087
9.0,1.0,10.0,8680.073950453174,4.950213491919938
10.0,0.0,1.0,8675.684593340786,4.68788699244375
10.0,0.0,2.0,8675.390860916039,4.845183428670295
10.0,0.0,3.0,8674.441873563817,4.692778286385814
10.0,0.0,4.0,8679.572708415391,4.692102877452697
10.0,0.0,5.0,8677.714256283583,4.674862745122405
10.0,0.0,6.0,8679.733483155633,4.676407221140239
10.0,0.0,7.0,8685.551944534174,4.67447281484843
10.0,0.0,8.0,8683.814415312594,4.661540447879722
10.0,0.0,9.0,8680.889922471611,4.666434095107745
10.0,0.0,10.0,8689.345497518589,4.6603322727581205
10.0,1.0,1.0,8674.78711282571,4.833801318362139
10.0,1.0,2.0,8674.069402943329,4.822325705062433
10.0,1.0,3.0,8675.962925449672,4.837184182434262
10.0,1.0,4.0,8719.527173850312,4.713472926183402
10.0,1.0,5.0,8679.88174780246,4.972952730163625
10.0,1.0,6.0,8682.612606647202,4.8639088031095525
10.0,1.0,7.0,8676.75146129485,4.860607511172752
10.0,1.0,8.0,8679.257101195837,4.772516662237999
10.0,1.0,9.0,8687.683008796088,5.354248743055665
10.0,1.0,10.0,8690.180873375532,4.933641972700454
